1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
1.5.17	etāni gautama uttareṇāgniṃ gatvā
1.5.18	etāny eva pradakṣiṇaṃ pratyantāddhānañjapyo yajñāyajñīyaṃ pucche prajāpatihṛdayasthāne ca vāmadevyam
1.5.19	dakṣiṇenāgniṃ gatvā gautamīye vyatyayaṃ ye pakṣayoḥ śāṇḍilyaḥ
1.5.20	śirasi ca gītvottare pakṣe
1.5.21	yathāgītam itarāṇi
1.5.22	uttare copablaye svaṃ hṛdayam ālabhya prajāpatihṛdayam adhvaryupathe śyaitam
1.6.1	pravargyavaty uttareṇa samrāḍāsandīṃ gatvā paścāt tiṣṭhann adhvaryupreṣitas tyagnāyir iti gāyat padāya padāya stobhet
1.6.2	nidhanāyaiva staubhīṃ vācaṃ visṛjet
1.6.3	upagrahaprabhṛtīni svarayanta upeyur ye gharma upayuktāḥ syuḥ
1.6.4	patnī ca
1.6.5	evaṃ madhye
1.6.6	prāpya cāhavanīyāyatanam
1.6.7	pariṣicyamāne 'pa upaspṛśya vārṣāharam
1.6.8	iṣṭāhotrīyaṃ pariṣikte
1.6.9	tasya sarve nidhanam upeyuḥ
1.6.10	dvīpaṃ ced gharmapātrāṇi hareyur nākāṅkṣeta pariṣecanam
1.6.11	śyaitaṃ pratyāvrajaṃs tṛce vaikasyāṃ vā
1.6.12	yajamāno nidhanam anūpeyāt
1.6.13	pūrvayā dvārā prapadyottareṇāgniṃ gatvā paścād gārhapatyasya tiṣṭhan mahāvīrāyatanaṃ prekṣamāṇo vāmadevyaṃ gāyed iti dhānañjapyaḥ
1.6.14	śyaitāntānīti śāṇḍilyaḥ
1.6.15	gaṇaḥ sāmāny uttarāṇi
1.6.16	ābhirūpyāt kartavyānīty eke
1.6.17	na vā kuryāt
1.6.18	sve vā yajñe kuryād ity eke
1.6.19	dīkṣaṇīyāyāṃ tārkṣyasāmanī gāyet tyam ū ṣv ity ete
1.6.20	prāyaṇīyāyāṃ pravadbhārgavam
1.6.21	udayanīyāyām udvat
1.6.22	ātithyāyāṃ gāyatrīsāmauśanam
1.6.23	añjanti gharmaṃ tatra śārṅgam
1.6.24	rajatajātarūpe upadadhati tacchukracandre
1.6.25	abhīndhatte tad gharmasya tanvau
1.6.26	rucitaṃ prāhus tad gharmasya vā rocanam indrasya vā
1.6.27	dhenū upasṛjanti taddhenu
1.6.28	tasya devatāyai sopāyaṃ stobham āharen na pādāyeti gautamaḥ
1.6.29	uttamaṃ pādaṃ punar abhyasyed yathā pañca nidhane vāmadevye
1.6.30	paya āharanti tat payaḥ
1.6.31	āsiñcanti tat sindhu sāmā tvā viśantv iti
1.6.32	śaphābhyāṃ parigṛhṇanti tad vasiṣṭhasya śaphau
1.6.33	hriyamāṇe vratapakṣau
1.6.34	hute 'śvinor vrate ahorātrayor vā
1.6.35	rauhiṇābhyāṃ puroḍāśābhyāṃ caranti tad rājana rauhiṇake
1.6.36	parigharmaṃ samrāḍāsandyāṃ samāropayanti tad ārūḍhavad āṅgirasam ita eta iti svarṇidhanaṃ
1.6.37	ṛṅmayo yajurmayaḥ sāmamayo gharmo bhavatīti hy āha
1.6.38	agniṃ praṇayanti tatrāgner vratam
1.6.39	agnīṣomau tatrobhayor vrate
1.6.40	sutyāyāṃ yajñasārathy ahar ahaḥ
1.6.41	satre satrasyarddhi
1.6.42	ukṣā ced anūbandhya aukṣaṇo randhre
1.6.43	ṛṣabha ārṣabham
1.6.44	unnate traikakubham
1.6.45	vaśāyāṃ vāśam
1.6.46	aja ājigam
1.6.47	meṣa aurṇāyavam
1.6.48	payasyāyāṃ svaraṃ payonidhanam
1.6.49	udavasānīyāyām udvaṃśīyam
1.6.50	upakramya samāpayed ā krator apavargāt
1.7.1	audumbarīm ucchrayiṣyan pūrveṇa devayajanaṃ gacched dakṣiṇataś ced asyāvasathaḥ syāt
1.7.2	uttareṇa yady anyataḥ
1.7.3	pūrvau sadasodvāryau śvabhrāv antareṇa prapadyāgreṇaudumbarīṃ gatvodaṅmukhas tiṣṭhann adhvaryuṇā sahocchrayet dyutānas tveti
1.7.4	āyor iti śvabhreva dadhyāt
1.7.5	avadhāya japen namaḥ samudrāya namaḥ samudrasya cakṣase | mā mā yūnarvāhāsīd ūrg asy ūrjodā ūrjaṃ me dehy ūrjaṃ me dehy annaṃ me dehy annaṃ me dhehīti
1.7.6	tān na visṛjed āvacchādanāt
1.7.7	adhvaryuṇābhihutāyāṃ juhuyāt tasyaivāvṛtāntareṇa viśākhe ghṛtena dyāvāpṛthivī āprīṇāthāṃ svāheti pūrvam
1.7.8	prajāpataye svāhety uttarām
1.7.9	anyatarāṃ vā svāhākāradvitīyāṃ yathā bhūmim ājyaṃ prāśyatīti
1.7.10	adhastādviśākhasya parigṛhya japed divi devāṃ dṛṃha mayi prajām iti
1.7.11	antarīkṣe vayāṃsi dṛṃha mayi paśūn iti madhye
1.7.12	pṛthivyā madhyoṣadhīr dṛṃha mayi sajātān iti mūle
1.7.13	ūrdhvaṃ homād yājamānaṃ dhānañjapyaḥ
1.7.14	svayam iti gautamaśāṇḍilyau
1.7.15	avacchādyamānāyāṃ divyaṃ chadmasi saṃtatināma viśvajanasya chāyā namas te 'stu mā mā hiṃsīr iti
1.7.16	dakṣiṇena śvabhrān gatvā parau dvāryāv antareṇa prapadyaitat kuryād iti śāṇḍilyaḥ
1.7.17	uttareṇeti dhānañjapyaḥ
1.7.18	gautamīyam itarat
1.7.19	yathetaṃ niṣkrāmet
1.8.1	yūpam ucchrīyamāṇam anumantrayeran nṛmaṇa ūrdhvabharasaṃ tveti
1.8.2	etānyevohasthānāni yāvantaḥ syuḥ
1.8.3	yatra tiṣṭhanta ucchrīyamāṇaṃ paśyeyur iti śāṇḍilyaḥ
1.8.4	antarvedy eveti dhānañjapyo na bahirvedi yajur avakalpata iti
1.8.5	viśvarūpāṇāṃ gānaṃ yajamānenoktaḥ pratyācakṣīta
1.8.6	gāyeti ced eva brūyān na mām anāmantrya prātaranuvākam upākuryā ity adhvaryuṃ brūyāt
1.8.7	hotāraṃ prātaranuvākāyopaviṣṭaṃ pūrveṇa gatvā yajamānaś ca pūrvayā dvārā prapadyāntareṇa havirdhāne pūrveṇa cakre udaṅmukha upaviśet tūṣṇīm
1.8.8	purastād yajamānaḥ pratyaṅmukhaḥ
1.8.9	yuñje vācaṃ śatapadoṃ gāyet sahasravartani gāyatraṃ traiṣṭubhaṃ jagad viśvā rūpāṇi saṃbhṛtā devā okāṃsi cakrira ity etasyāṃ paṅktau trir gāyatraṃ gāyed iti dhānañjapyaḥ svādhyāyasvareṇa manasaiva yajamāna upasvaret
1.8.10	triṣu triṣu padeṣu gāyed iti gautamaḥ pūrvaṃ pūrvam atisṛjan
1.8.11	pragāthakāraṃ vā
1.8.12	gītvā yathārthaṃ syāt
1.8.13	viśvarūpāś ced gāyet jyotīṃṣy api gāyet
1.8.14	parihite prātaranuvāke yo naptrīyaṃ nāma sūktaṃ purā tasmāddhotāram āramayitvāgrayaṇasya vānuhiṃkāraṃ pavitraṃ dhārayan nāstāvaṃ vā prāpya stomayogād agnir jyotir jyotir agnir indro jyotir jyotir indraḥ sūryo jyotir jyotiḥ sūrya ity eteṣu padeṣu tris trir ekaikam abhyāsaṃ manasā gāyatraṃ gāyet
1.8.15	tāni nānyatra viśvarūpābhyaḥ
1.8.16	na cānyatra viśvarūpāj jyotiṣṭomāj jyotiṣṭomāt
1.9.1	yugapat karmasu sarveṣūdgātur dakṣiṇam anu bāhuṃ prastotā savyaṃ pratihartā
1.9.2	hotā prātaranuvākam anūcyābhūd uṣā iti yadā brūyād atha vedim ākrāmeyur mṛdā śithireti
1.9.3	bahirvedy etaj japitvā mā mā hiṃsīr ity etāvataveti dhānañjapyaḥ
1.9.4	savanamukheṣu ca
1.9.5	yajuṣāhar ahar iti gautamaḥ
1.9.6	sakṛt kratāv iti śāṇḍilyaḥ
1.9.7	yāvad vākrāmeyur ity eke
1.9.8	havirdhānaṃ praveśyamānā vasatīvarīr anupraviśeyuḥ
1.9.9	tasya rarāṭyām ālabhya viṣṇoḥ śira iti
1.9.10	iṣa ūrja iti praviśantaḥ
1.9.11	antareṇeṣe bāhūn avahṛtya pārṣṇīr anudyacchanto yunajmīti rājānam abhimṛśeyur yaḥ prātaḥsavanāya
1.9.12	avibhaktaś cet sarvam
1.9.13	na cet prāpnuyur deśenaiva
1.9.14	prastotā prathamo 'tisarpet
1.9.15	tata udgātā
1.9.16	tataḥ pratihartā
1.9.17	dakṣiṇasya havirdhānasya paścāt savyāvṛta upaviśeyur ṛtasya sadana iti
1.9.18	purastāc copariṣṭāc carcaḥ sarvatra japeyur yāsu kariṣyantaḥ syuḥ
1.9.19	atra tu bahiṣpavamānasya
1.9.20	abhiṣute rājany ṛtapātram asīti droṇakalaśam ālabhya vānaspatya iti proheyuḥ
1.9.21	dakṣiṇe pāṇāv udgātā daśāpavitraṃ kurvīta
1.9.22	akṣaṃ ced upahanyuḥ punaḥ proheyuḥ
1.9.23	antareṇākṣaviṣkambhau daśāpavitraṃ prāsyed anupaghnan
1.9.24	saṃhitau ced ubhāv upari
1.9.25	sarvaṃ rathopastham upary upari
1.9.26	uttareṇa rathajaṅghāṃ rathaś cet
1.10.1	pratyāvrajya grāvno yuñjyāt pradakṣiṇam aṣṭamadeśeṣu sthavīyāṃsy abhyantarāṇi kṛtvā
1.10.2	tāni mukhāni
1.10.3	dakṣiṇā pūrvārdhyaṃ prathamam
1.10.4	tān abhimṛśya japeyur maruta iti
1.10.5	ṛtasadana etaj japitvā yuktā stha vahatety etāvataiveti dhānañjapyaḥ
1.10.6	paścād dakṣiṇato vā droṇakalaśam adhyūheyur idam aham imam iti yajamānaśabdaṃ sarvatra yathārthaṃ kuryuḥ
1.10.7	anujapeyur anyena kṛte mantrau brāhmaṇavihitād anyatra
1.10.8	eṣa kalpaḥ kāmyānāṃ dveṣyakalpād anyatra
1.10.9	viparyasya tu tasmiṃs tūṣṇīṃś ca yojanādhyūhane
1.10.10	idam aham amum iti dakṣiṇāparam aṣṭamadeśaṃ nirūhet
1.10.11	dveṣyapriyakalpayor mantrau rājany ūhet
1.10.12	tasya ca viśam ādiśet tāṃś caivānnādyena
1.10.13	upāṃśusavano nāma grāvā pañcamas tam upariṣṭād droṇakalaśasya kuryāt rāṣṭrajighāṃsuḥ pratīveśāṃ balavatīṃ viśam ādiśan
1.10.14	eteṣām ekaṃ kṛtvā pathyaṃ kuryād iti gautamaḥ
1.10.15	tam eveti dhānañjapyaḥ
1.10.16	pṛṣṭhānām ante pūrvayā dvārā niṣkramya kāmyaṃ śāṇḍilyaḥ
1.10.17	pavitreṇa droṇakalaśaṃ saṃmṛjyād vasavas tveti budhnaṃ rudrās tveti madhyam ādityās tveti bilam
1.10.18	eteṣām ekaikena tris trir anusavanaṃ saṃmṛjyād iti dhānañjapyaḥ
1.10.19	sarvaiḥ sarveṣv iti śāṇḍilyaḥ
1.10.20	avadhūya pavitram udagdaśam avāṅnābhi vitanuyuḥ pavitraṃ ta iti
1.10.21	saṃtatāyāṃ dhārāyām udgātā japet pra śukrety amuṣya rājyāyeti priyaṃ rājānam ādiśet
1.10.22	rājño rājyāyeti vā yajamānasya rājño rājyāyeti vā
1.10.23	somasya rājño rājyāyeti vā
1.10.24	somasyety eva brūyāt somarājāno hi brāhmaṇāḥ
1.10.25	āgrayaṇaṃ gṛhṇann adhvaryur hiṃkaroti tadā pravṛṇīrann agniḥ prastotāhaṃ mānuṣo bṛhaspatir udgātāhaṃ mānuṣo vāyuḥ pratihartāhaṃ mānuṣa iti
1.10.26	na pravṛṇīrann iti dhānañjapyaḥ
1.10.27	pravṛṇīrann eveti śāṇḍilyaḥ
1.10.28	atra vācaṃ yaccheyuḥ
1.10.29	ṛtasadane vā
1.10.30	vediṃ vākrāmantaḥ
1.10.31	stute bahiṣpavamāne visṛjeran
1.11.1	uttarāddhavirdhānāt dhruvasthālīṃ harantaḥ paścimenodgātṝn hṛtvā tenaiva pratihareyuḥ
1.11.2	adhvaryuṃ niṣkrāmantaṃ prastotā saṃtanuyāt
1.11.3	tam udgātā
1.11.4	udgātāraṃ pratihartā
1.11.5	taṃ brahmā
1.11.6	brahmāṇaṃ yajamānaḥ
1.11.7	na rājānam ālabhyānupaspṛśyāpa ājyam ālabheran
1.11.8	tathājyaṃ rājānaṃ sarvatra
1.11.9	adhvaryuṇā hute pravṛttahomau juhuyur gatyānupūrvyeṇa bekurānāmāsi sūryometi
1.11.10	saṃsutasome tv adhikām udgātā juhuyāt saṃveśāyopaveśāyeti yathāsavanaṃ chandāṃsy ādiśan
1.11.11	ṛcaṃ sāmeti svāhākārāntayā tṛtīyāṃ sarvatra sa eveti śāṇḍilyaḥ
1.11.12	mahāgirimahānadīrathāharvāyuvyavāyeṣv asaṃsavaḥ
1.11.13	pṛthagjanapade ca
1.11.14	avidviṣāṇamātrād ity eke
1.11.15	hutvā japeyur brahmāhaṃ gāyatrīṃ vācaṃ prāṇaṃ prajāpatiṃ prapadye 'śmānam ākhaṇaṃ paryūha iti
1.11.16	adhvaryum anvāvarteran sarpantaḥ
1.11.17	savyaiḥ pāṇibhiḥ pṛthag dakṣiṇā tṛṇāni nirasyeyur yo 'dya saumya iti
1.11.18	cātvāladeśaṃ prāpyādhvaryāv upaviṣṭe tasmāt pratyag upaviśeyur yo ma ātmeti
1.11.19	pratyaṅmukhaḥ prastotā
1.11.20	udaṅmukha udgātā
1.11.21	paścimenodgātāraṃ gatvā dakṣiṇapūrvam aṣṭamadeśam īkṣamāṇaḥ pratihartā
1.11.22	savyādharān upasthān kṛtvā dyāvāpṛthivyoḥ sandhimokṣamāṇāḥ samāni mukhāni dhārayantaḥ
1.11.23	evaṃ sarvastotreṣv āsīran
1.11.24	apareṇodgātṝṃs tryavarārdhyā upagāḥ
1.11.25	caturavarārdhyān eke
1.11.26	ta etenākṣareṇopagāyeyur ho iti mandrasvareṇa santataṃ sahavācyeṣv āramantaḥ
1.11.27	tasmāt tryantareṇa stuyuḥ
1.11.28	samena vā prātaḥsavane
1.11.29	ekāntareṇa vā
1.12.1	prastaraṃ pratigṛhya prastotā brahma stoṣyāmaḥ praśāstar ity udgātre prayacchet
1.12.2	tena dakṣiṇāṃ jaṅghām upahatya yuñjyāt stomam agnes tejaseti
1.12.3	annaṃ kariṣyāmīti japet
1.12.4	tūṣṇīṃ cātvālam udapātraṃ cāvekṣeran
1.12.5	sāmāsi prati mā bhāhīty ādityam
1.12.6	tūṣṇīṃ vā
1.12.7	sakṛddhiṃkṛtya bahiṣpavamānena stuvīran
1.12.8	ahiṃkṛtā prathamā retasyā
1.12.9	hiṃkṛtāḥ parāḥ
1.12.10	rathantaravarṇottamāvisṛṣṭahiṃkārāḥ
1.12.11	tasyā ūrdhvaṃ prastāvāc catvāry akṣarāṇy abhiṣṭobhet
1.12.12	annam akaram iti stutvā japet
1.12.13	śyeno 'sīti prastare yajamānaṃ vācayet
1.12.14	taṃ sarvatra stutvopahvayeran
1.12.15	saṃ varcasetīkṣakān sahakāriṇaś ca prekṣamāṇo japet
1.12.16	namo gandharvāyety ādityam
1.12.17	deśenaivāntarhitaś cet
1.12.18	etat sarvaṃ kuryād uttarayoḥ pavamānayoḥ
1.12.19	pravarās tu nivartante cātvālāvekṣaṇaprabhṛti ca prāgghiṃkārāt
1.12.20	praveśanasaṃmārjane cāntareṇa tṛtīyasavane
1.12.21	kumbhaṃ tu tatra saṃmṛjyād uttare havirdhāne yaḥ pūrvo droṇakalaśāvṛtā
1.12.22	taṃ pūtabhṛd ity ācakṣate taṃ pūtabhṛd ity ācakṣate
2.1.1	stomayoge 'gnir yunaktv ity etasya sthāne vāyuyunaktu sūryo yunaktv iti nānāsavanayoḥ
2.1.2	vihāraṃ dhānañjapyo 'gnes tejasā bṛhaspatis tveti prātaḥsavana indriyasyendriyeṇa bṛhaspatis tveti mādhyandine sūryasyeti tṛtīyasavane
2.1.3	sarvair ekaikaṃ yathāmnāyaṃ śāṇḍilyaḥ
2.1.4	sāmne sāmne hiṃkuryuḥ
2.1.5	vṛṣako 'si svaro 'sīti yajamānavācane
2.1.6	stutvā bahiṣpavamānena prastarād ubhayataś caturaṅgulaṃ parichidya tṛṇaṃ cātvāle pravidhyed yadi stutaṃ yadi vādya suṣṭutam arvākstutaṃ yadi vātiṣṭutaṃ yat tayor anyena divam āruhememam anyena jayema lokam iti
2.1.7	tatraivodapātraṃ ninayeyuḥ samudraṃ vaḥ prahiṇomi svāṃ yonim abhigacchatāriṣṭās tanvo bhūyāḥ sma māparā secino dhanam iti
2.1.8	bahirvedy udañco 'yuñji padāny utkrāmeyuḥ prāgdaśabhyaḥ
2.1.9	āvrajyāgnīdhrīyaṃ bahiṣpavamānarco 'dhīyīran
2.1.10	anuvyācāriṣīn mām iti yam iti śaṅketa tasmā āgnīdhrīya āhutīvajraṃ prahared yajñaśaṃ ca ta upa ca te namaś ca te satyo 'si satyasaṃskṛtas tasya te ya ūnaṃ yo 'kṛtaṃ yo 'tiriktam adarśat tasya prāṇenāpyāyasva svāheti
2.1.11	na vyabhicarateti dhānañjapyaḥ
2.2.1	ahīnahiṣpavamānaiḥ sadasi stuvīran prathamād ahno 'nyatra
2.2.2	ādyantayoś ca satreṣu
2.2.3	prāg dhiṣṇyaviharaṇān niṣkramya tṛṇaprāsanaprabhṛti samāpayeyuḥ
2.2.4	vaidatrirātre sattrannyāyaṃ gautamaḥ
2.2.5	ahīnanyāyaṃ dhānañjapyaḥ
2.2.6	mandraṃ prātaḥsavane stuvīrann uttarottaryuttarayoḥ
2.2.7	madhyena vobhayoḥ
2.2.8	etasyāṃ velāyāṃ prāśnīyuḥ
2.2.9	anusavanaṃ tu satreṣu savanamukhīyān bhakṣayitvā sanneṣu nārāśaṃseṣu
2.2.10	vapāyāṃ hutāyāṃ dhiṣṇyān upatiṣṭheran
